word,no_vowels,number_sequence,word_length,no_vowels_length
during,drng,1426,6,4
usa,s,0,3,1
return,rtrn,4142,6,4
students,stdnts,011210,8,6
v,v,8,1,1
shopping,shppng,69926,8,6
account,ccnt,0021,7,4
times,tms,130,5,3
sites,sts,010,5,3
level,lvl,585,5,3
digital,dgtl,1615,7,4
profile,prfl,9485,7,4
previous,prvs,9480,8,4
form,frm,843,4,3
events,vnts,8210,6,4
love,lv,58,4,2
old,ld,51,3,2
john,jhn,62,4,3
main,mn,32,4,2
call,cll,055,4,3
hours,hrs,40,5,3
image,mg,36,5,2
department,dprtmnt,1941321,10,7
title,ttl,115,5,3
description,dscrptn,1004912,11,7
non,nn,22,3,2
k,k,7,1,1
insurance,nsrnc,20420,9,5
another,nthr,284,7,4
shall,shll,655,5,4
property,prprty,94941,8,6
class,clss,0500,5,4
cd,cd,01,2,2
still,stll,0155,5,4
money,mny,32,5,3
quality,qlty,751,7,4
every,vry,84,5,3
listing,lstng,50126,7,5
content,cntnt,02121,7,5
country,cntry,0214,7,5
private,prvt,9481,7,4
little,lttl,5115,6,4
visit,vst,801,5,3
save,sv,08,4,2
tools,tls,150,5,3
low,lw,5,3,2
reply,rply,495,5,4
customer,cstmr,00134,8,5
december,dcmbr,10394,8,5
compare,cmpr,0394,7,4
movies,mvs,380,6,3
include,ncld,2051,7,4
college,cllg,0556,7,4
value,vl,85,5,2
article,rtcl,4105,7,4
york,yrk,47,4,3
man,mn,32,3,2
card,crd,041,4,3
jobs,jbs,690,4,3
provide,prvd,9481,7,4
j,j,6,1,1
food,fd,81,4,2
source,src,040,6,3
author,thr,84,6,3
different,dffrnt,188421,9,6
press,prss,9400,5,4
learn,lrn,542,5,3
sale,sl,05,4,2
around,rnd,421,6,3
print,prnt,9421,5,4
course,crs,040,6,3
job,jb,69,3,2
canada,cnd,021,6,3
process,prcss,94000,7,5
teen,tn,12,4,2
room,rm,43,4,2
stock,stck,0107,5,4
training,trnng,14226,8,5
too,t,1,3,1
credit,crdt,0411,6,4
point,pnt,921,5,3
join,jn,62,4,2
science,scnc,0020,7,4
men,mn,32,3,2
categories,ctgrs,01640,10,5
advanced,dvncd,18201,8,5
west,wst,01,4,3
sales,sls,050,5,3
look,lk,57,4,2
english,nglsh,2656,7,5
left,lft,581,4,3
team,tm,13,4,2
estate,stt,011,6,3
box,bx,9,3,2
conditions,cndtns,021120,10,6
select,slct,0501,6,4
windows,wndws,210,7,5
photos,phts,910,6,4
gay,gy,6,3,2
thread,thrd,841,6,4
week,wk,7,4,2
category,ctgry,0164,8,5
note,nt,21,4,2
live,lv,58,4,2
large,lrg,546,5,3
gallery,gllry,6554,7,5
table,tbl,195,5,3
register,rgstr,46014,8,5
however,hwvr,84,7,4
june,jn,62,4,2
october,ctbr,0194,7,4
november,nvmbr,28394,8,5
market,mrkt,3471,6,4
library,lbrry,5944,7,5
really,rlly,455,6,4
action,ctn,012,6,3
start,strt,0141,5,4
series,srs,040,6,3
model,mdl,315,5,3
features,ftrs,8140,8,4
air,r,4,3,1
industry,ndstry,21014,8,6
plan,pln,952,4,3
human,hmn,32,5,3
provided,prvdd,94811,8,5
tv,tv,18,2,2
yes,ys,0,3,2
required,rqrd,4741,8,4
second,scnd,0021,6,4
hot,ht,1,3,2
accessories,ccssrs,000040,11,6
cost,cst,001,4,3
movie,mv,38,5,2
forums,frms,8430,6,4
march,mrch,346,5,4
la,l,5,2,1
september,sptmbr,091394,9,6
better,bttr,9114,6,4
say,sy,0,3,2
questions,qstns,70120,9,5
july,jly,65,4,3
going,gng,626,5,3
medical,mdcl,3105,7,4
test,tst,101,4,3
friend,frnd,8421,6,4
come,cm,03,4,2
dec,dc,10,3,2
server,srvr,0484,6,4
pc,pc,90,2,2
study,stdy,011,5,4
application,pplctn,995012,11,6
cart,crt,041,4,3
staff,stff,0188,5,4
articles,rtcls,41050,8,5
san,sn,02,3,2
feedback,fdbck,81907,8,5
again,gn,62,5,2
play,ply,95,4,3
looking,lkng,5726,7,4
issues,sss,000,6,3
april,prl,945,5,3
never,nvr,284,5,3
users,srs,040,5,3
complete,cmplt,03951,8,5
street,strt,0141,6,4
topic,tpc,190,5,3
comment,cmmnt,03321,7,5
financial,fnncl,82205,9,5
things,thngs,8260,6,5
working,wrkng,4726,7,5
against,gnst,6201,7,4
standard,stndrd,012141,8,6
tax,tx,1,3,2
person,prsn,9402,6,4
below,blw,95,5,3
mobile,mbl,395,6,3
less,lss,500,4,3
got,gt,61,3,2
blog,blg,956,4,3
party,prty,941,5,4
payment,pymnt,9321,7,5
equipment,qpmnt,79321,9,5
login,lgn,562,5,3
student,stdnt,01121,7,5
let,lt,51,3,2
programs,prgrms,946430,8,6
offers,ffrs,8840,6,4
legal,lgl,565,5,3
above,bv,98,5,2
recent,rcnt,4021,6,4
park,prk,947,4,3
stores,strs,0140,6,4
side,sd,01,4,2
act,ct,01,3,2
problem,prblm,94953,7,5
red,rd,41,3,2
give,gv,68,4,2
memory,mmry,334,6,4
performance,prfrmnc,9484320,11,7
social,scl,005,6,3
q,q,7,1,1
august,gst,601,6,3
quote,qt,71,5,2
language,lngg,5266,8,4
story,stry,014,5,4
sell,sll,055,4,3
options,ptns,9120,7,4
experience,xprnc,9420,10,5
rates,rts,410,5,3
create,crt,041,6,3
key,ky,7,3,2
body,bdy,91,4,3
young,yng,26,5,3
america,mrc,340,7,3
important,mprtnt,394121,9,6
field,fld,851,5,3
few,fw,8,3,2
east,st,01,4,2
paper,ppr,994,5,3
single,sngl,0265,6,4
age,g,6,3,1
activities,ctvts,01810,10,5
club,clb,059,4,3
example,xmpl,395,7,4
girls,grls,6450,5,4
additional,ddtnl,11125,10,5
password,psswrd,90041,8,6
z,z,0,1,1
latest,ltst,5101,6,4
something,smthng,03826,9,6
road,rd,41,4,2
gift,gft,681,4,3
question,qstn,7012,8,4
changes,chngs,6260,7,5
night,nght,261,5,4
ca,c,0,2,1
hard,hrd,41,4,3
texas,txs,10,5,3
oct,ct,01,3,2
pay,py,9,3,2
four,fr,84,4,2
poker,pkr,974,5,3
status,stts,0110,6,4
browse,brws,940,6,4
issue,ss,00,5,2
range,rng,426,5,3
building,bldng,95126,8,5
seller,sllr,0554,6,4
court,crt,041,5,3
february,fbrry,8944,8,5
always,lwys,50,6,4
result,rslt,4051,6,4
audio,d,1,5,1
light,lght,561,5,4
write,wrt,41,5,3
war,wr,4,3,2
nov,nv,28,3,2
offer,ffr,884,5,3
blue,bl,95,4,2
groups,grps,6490,6,4
al,l,5,2,1
easy,sy,0,4,2
given,gvn,682,5,3
files,fls,850,5,3
event,vnt,821,5,3
release,rls,450,7,3
analysis,nlyss,2500,8,5
request,rqst,4701,7,4
fax,fx,8,3,2
china,chn,62,5,3
making,mkng,3726,6,4
picture,pctr,9014,7,4
needs,nds,210,5,3
possible,pssbl,90095,8,5
might,mght,361,5,4
professional,prfssnl,9480025,12,7
yet,yt,1,3,2
month,mnth,328,5,4
major,mjr,364,5,3
star,str,014,4,3
areas,rs,40,5,2
future,ftr,814,6,3
space,spc,090,5,3
committee,cmmtt,03311,9,5
hand,hnd,21,4,3
sun,sn,02,3,2
cards,crds,0410,5,4
problems,prblms,949530,8,6
london,lndn,5212,6,4
washington,wshngtn,62612,10,7
meeting,mtng,3126,7,4
rss,rss,400,3,3
become,bcm,903,6,3
interest,ntrst,21401,8,5
id,d,1,2,1
child,chld,651,5,4
keep,kp,79,4,2
enter,ntr,214,5,3
california,clfrn,05842,10,5
share,shr,64,5,3
similar,smlr,0354,7,4
garden,grdn,6412,6,4
schools,schls,0650,7,5
million,mlln,3552,7,4
added,ddd,111,5,3
reference,rfrnc,48420,9,5
companies,cmpns,03920,9,5
listed,lstd,5011,6,4
baby,bby,99,4,3
learning,lrnng,54226,8,5
energy,nrgy,246,6,4
run,rn,42,3,2
delivery,dlvry,1584,8,5
net,nt,21,3,2
popular,pplr,9954,7,4
term,trm,143,4,3
film,flm,853,4,3
stories,strs,0140,7,4
put,pt,91,3,2
computers,cmptrs,039140,9,6
journal,jrnl,6425,7,4
reports,rprts,49410,7,5
co,c,0,2,1
try,try,14,3,3
welcome,wlcm,503,7,4
central,cntrl,02145,7,5
images,mgs,360,6,3
president,prsdnt,940121,9,6
notice,ntc,210,6,3
original,rgnl,4625,8,4
head,hd,1,4,2
radio,rd,41,5,2
until,ntl,215,5,3
cell,cll,055,4,3
color,clr,054,5,3
self,slf,058,4,3
council,cncl,0205,7,4
includes,nclds,20510,8,5
track,trck,1407,5,4
australia,strl,0145,9,4
discussion,dscssn,100002,10,6
archive,rchv,468,7,4
once,nc,20,4,2
others,thrs,840,6,4
entertainment,ntrtnmnt,21412321,13,8
agreement,grmnt,64321,9,5
format,frmt,8431,6,4
least,lst,501,5,3
society,scty,001,7,4
months,mnths,3280,6,5
log,lg,56,3,2
safety,sfty,081,6,4
friends,frnds,84210,7,5
sure,sr,04,4,2
faq,fq,87,3,2
trade,trd,141,5,3
edition,dtn,112,7,3
cars,crs,040,4,3
messages,mssgs,30060,8,5
marketing,mrktng,347126,9,6
tell,tll,155,4,3
further,frthr,8484,7,5
updated,pdtd,9111,7,4
association,ssctn,00012,11,5
able,bl,95,4,2
having,hvng,826,6,4
provides,prvds,94810,8,5
david,dvd,181,5,3
fun,fn,82,3,2
already,lrdy,541,7,4
green,grn,642,5,3
studies,stds,0110,7,4
close,cls,050,5,3
common,cmmn,0332,6,4
drive,drv,148,5,3
specific,spcfc,09080,8,5
several,svrl,0845,7,4
gold,gld,651,4,3
feb,fb,89,3,2
living,lvng,5826,6,4
sep,sp,09,3,2
collection,cllctn,055012,10,6
called,clld,0551,6,4
short,shrt,641,5,4
arts,rts,410,4,3
lot,lt,51,3,2
ask,sk,07,3,2
display,dsply,1095,7,5
limited,lmtd,5311,7,4
powered,pwrd,941,7,4
solutions,sltns,05120,9,5
means,mns,320,5,3
director,drctr,14014,8,5
daily,dly,15,5,3
beach,bch,96,5,3
past,pst,901,4,3
natural,ntrl,2145,7,4
whether,whthr,84,7,5
due,d,1,3,1
et,t,1,2,1
electronics,lctrncs,5014200,11,7
five,fv,88,4,2
upon,pn,92,4,2
period,prd,941,6,3
planning,plnnng,952226,8,6
database,dtbs,1190,8,4
says,sys,00,4,3
official,ffcl,8805,8,4
weather,wthr,84,7,4
mar,mr,34,3,2
land,lnd,521,4,3
average,vrg,846,7,3
done,dn,12,4,2
technical,tchncl,16205,9,6
window,wndw,21,6,4
france,frnc,8420,6,4
pro,pr,94,3,2
region,rgn,462,6,3
island,slnd,0521,6,4
record,rcrd,4041,6,4
direct,drct,1401,6,4
microsoft,mcrsft,304081,9,6
conference,cnfrnc,028420,10,6
environment,nvrnmnt,2842321,11,7
records,rcrds,40410,7,5
st,st,01,2,2
district,dstrct,101401,8,6
calendar,clndr,05214,8,5
costs,csts,0010,5,4
style,styl,015,5,4
url,rl,45,3,2
front,frnt,8421,5,4
statement,sttmnt,011321,9,6
update,pdt,911,6,3
parts,prts,9410,5,4
aug,g,6,3,1
ever,vr,84,4,2
downloads,dwnlds,12510,9,6
early,rly,45,5,3
miles,mls,350,5,3
sound,snd,021,5,3
resource,rsrc,4040,8,4
present,prsnt,94021,7,5
applications,pplctns,9950120,12,7
either,thr,84,6,3
ago,g,6,3,1
document,dcmnt,10321,8,5
word,wrd,41,4,3
works,wrks,470,5,4
material,mtrl,3145,8,4
bill,bll,955,4,3
apr,pr,94,3,2
written,wrttn,4112,7,5
talk,tlk,157,4,3
federal,fdrl,8145,7,4
hosting,hstng,0126,7,5
rules,rls,450,5,3
final,fnl,825,5,3
adult,dlt,151,5,3
tickets,tckts,10710,7,5
thing,thng,826,5,4
centre,cntr,0214,6,4
requirements,rqrmnts,4743210,12,7
via,v,8,3,1
cheap,chp,69,5,3
kids,kds,710,4,3
finance,fnnc,8220,7,4
true,tr,14,4,2
minutes,mnts,3210,7,4
else,ls,50,4,2
mark,mrk,347,4,3
third,thrd,841,5,4
rock,rck,407,4,3
gifts,gfts,6810,5,4
europe,rp,49,6,2
reading,rdng,4126,7,4
topics,tpcs,1900,6,4
bad,bd,91,3,2
individual,ndvdl,21815,10,5
tips,tps,190,4,3
plus,pls,950,4,3
auto,t,1,4,1
cover,cvr,084,5,3
usually,slly,055,7,4
edit,dt,11,4,2
together,tgthr,1684,8,5
videos,vds,810,6,3
percent,prcnt,94021,7,5
fast,fst,801,4,3
function,fnctn,82012,8,5
fact,fct,801,4,3
unit,nt,21,4,2
getting,gttng,61126,7,5
global,glbl,6595,6,4
tech,tch,16,4,3
meet,mt,31,4,2
far,fr,84,3,2
economic,cnmc,0230,8,4
en,n,2,2,1
player,plyr,954,6,4
projects,prjcts,946010,8,6
lyrics,lyrcs,5400,6,5
often,ftn,812,5,3
subscribe,sbscrb,090049,9,6
submit,sbmt,0931,6,4
germany,grmny,6432,7,5
amount,mnt,321,6,3
watch,wtch,16,5,4
included,ncldd,20511,8,5
feel,fl,85,4,2
though,thgh,86,6,4
bank,bnk,927,4,3
risk,rsk,407,4,3
thanks,thnks,8270,6,5
everything,vrythng,84826,10,7
deals,dls,150,5,3
various,vrs,840,7,3
words,wrds,410,5,4
linux,lnx,52,5,3
jul,jl,65,3,2
production,prdctn,941012,10,6
commercial,cmmrcl,033405,10,6
james,jms,630,5,3
weight,wght,61,6,4
town,twn,12,4,3
heart,hrt,41,5,3
advertising,dvrtsng,1841026,11,7
received,rcvd,4081,8,4
choose,chs,60,6,3
treatment,trtmnt,141321,9,6
newsletter,nwslttr,205114,10,7
archives,rchvs,4680,8,5
points,pnts,9210,6,4
knowledge,knwldg,72516,9,6
magazine,mgzn,3602,8,4
error,rrr,444,5,3
camera,cmr,034,6,3
jun,jn,62,3,2
girl,grl,645,4,3
currently,crrntly,044215,9,7
construction,cnstrctn,02014012,12,8
toys,tys,10,4,3
registered,rgstrd,460141,10,6
clear,clr,054,5,3
golf,glf,658,4,3
receive,rcv,408,7,3
domain,dmn,132,6,3
methods,mthds,3810,7,5
chapter,chptr,6914,7,5
makes,mks,370,5,3
protection,prtctn,941012,10,6
policies,plcs,9500,8,4
loan,ln,52,4,2
wide,wd,1,4,2
beauty,bty,91,6,3
manager,mngr,3264,7,4
india,nd,21,5,2
position,pstn,9012,8,4
taken,tkn,172,5,3
sort,srt,041,4,3
listings,lstngs,501260,8,6
models,mdls,3150,6,4
michael,mchl,365,7,4
known,knwn,722,5,4
half,hlf,58,4,3
cases,css,000,5,3
step,stp,019,4,3
engineering,ngnrng,262426,11,6
florida,flrd,8541,7,4
simple,smpl,0395,6,4
quick,qck,707,5,3
none,nn,22,4,2
wireless,wrlss,4500,8,5
license,lcns,5020,7,4
paul,pl,95,4,2
friday,frdy,841,6,4
lake,lk,57,4,2
whole,whl,5,5,3
annual,nnl,225,6,3
published,pblshd,99561,9,6
later,ltr,514,5,3
basic,bsc,900,5,3
sony,sny,02,4,3
shows,shws,60,5,4
corporate,crprt,04941,9,5
google,ggl,665,6,3
church,chrch,646,6,5
method,mthd,381,6,4
purchase,prchs,9460,8,5
customers,cstmrs,001340,9,6
active,ctv,018,6,3
response,rspns,40920,8,5
practice,prctc,94010,8,5
hardware,hrdwr,414,8,5
figure,fgr,864,6,3
materials,mtrls,31450,9,5
fire,fr,84,4,2
holiday,hldy,51,7,4
chat,cht,61,4,3
enough,ngh,26,6,3
designed,dsgnd,10621,8,5
along,lng,526,5,3
among,mng,326,5,3
death,dth,18,5,3
writing,wrtng,4126,7,5
speed,spd,091,5,3
html,html,135,4,4
countries,cntrs,02140,9,5
loss,lss,500,4,3
face,fc,80,4,2
brand,brnd,9421,5,4
discount,dscnt,10021,8,5
higher,hghr,64,6,4
effects,ffcts,88010,7,5
created,crtd,0411,7,4
remember,rmmbr,43394,8,5
standards,stndrds,0121410,9,7
oil,l,5,3,1
bit,bt,91,3,2
yellow,yllw,55,6,4
political,pltcl,95105,9,5
increase,ncrs,2040,8,4
advertise,dvrts,18410,9,5
kingdom,kngdm,72613,7,5
base,bs,90,4,2
near,nr,24,4,2
environmental,nvrnmntl,28423215,13,8
thought,thght,861,7,5
stuff,stff,0188,5,4
french,frnch,8426,6,5
storage,strg,0146,7,4
japan,jpn,692,5,3
doing,dng,126,5,3
loans,lns,520,5,3
shoes,shs,60,5,3
entry,ntry,214,5,4
stay,sty,01,4,3
nature,ntr,214,6,3
orders,rdrs,4140,6,4
availability,vlblty,85951,12,6
